short_name,long_name,nationality_name,overall,age,player_positions,club_name,cluster,cluster_name,pace,shooting,passing,dribbling,defending,physic
M. Dominguez,Maxime Dominguez,Switzerland,71,29,"CM, RM, CDM, CAM",Toronto FC,4,Pacey Dribbler II,74.0,69.0,72.0,73.0,58.0,60.0
M. Müldür,Mert Müldür,Türkiye,74,26,"RB, LB, CB, RM",Fenerbahçe SK,2,Deep Playmaker,76.0,54.0,65.0,73.0,71.0,75.0
E. Stroud,Elliot Stroud,Sweden,71,23,"LB, LM",Mjällby AIF,2,Deep Playmaker,79.0,65.0,64.0,67.0,65.0,73.0
J. Ferreira,Jesús David Ferreira Castro,United States,72,24,"ST, CAM",Seattle Sounders FC,4,Pacey Dribbler II,80.0,70.0,69.0,74.0,46.0,66.0
Oriol Rey,Oriol Rey Erenas,Spain,73,27,"CM, CDM",Levante UD,2,Deep Playmaker,57.0,61.0,72.0,72.0,70.0,74.0
M. Ojeda,Martín Ezequiel Ojeda,Argentina,74,26,"CAM, RM, LM, CM",Orlando City SC,4,Pacey Dribbler II,83.0,75.0,72.0,73.0,34.0,63.0
Agus Medina,Agustín Medina Delgado,Spain,70,30,"CM, LB, RM",Albacete Balompié,2,Deep Playmaker,67.0,64.0,68.0,70.0,67.0,74.0
R. Giles,Ryan John Giles,England,71,25,"LB, LM",Hull City,4,Pacey Dribbler II,86.0,59.0,70.0,72.0,61.0,67.0
J. Sargent,Joshua Thomas Sargent,United States,75,25,ST,Norwich City,2,Deep Playmaker,74.0,76.0,62.0,69.0,48.0,82.0
Rúben Vinagre,Rúben Gonçalo Silva Nascimento Vinagre,Portugal,72,26,"LB, LM",Legia Warszawa,4,Pacey Dribbler II,82.0,55.0,70.0,76.0,63.0,65.0
H. Saivet,Henri Grégoire Saivet,Senegal,67,34,"CAM, CM, CDM",Clermont Foot 63,2,Deep Playmaker,59.0,65.0,69.0,66.0,63.0,68.0
T. Malacia,Tyrell Johannes Chicco Malacia,Netherlands,75,25,"LB, LM",Manchester United,2,Deep Playmaker,77.0,54.0,66.0,75.0,72.0,71.0
J. Vandeputte,Jari Vandeputte,Belgium,72,29,"CM, LM, CAM",Cremonese,4,Pacey Dribbler II,80.0,65.0,73.0,73.0,61.0,64.0
Ivi López,Iván López Álvarez,Spain,73,31,"CAM, ST, LW",Raków Częstochowa,4,Pacey Dribbler II,73.0,72.0,72.0,75.0,40.0,66.0
M. van de Ven,Micky van de Ven,Netherlands,82,24,"CB, LB, LM",Tottenham Hotspur,2,Deep Playmaker,90.0,49.0,64.0,72.0,82.0,80.0
Jonny,Jonathan Castro Otto,Spain,74,31,"RB, LB, RM",Deportivo Alavés,2,Deep Playmaker,72.0,55.0,69.0,74.0,72.0,68.0
Embarba,Adrián Embarba Blazquez,Spain,74,33,"LM, RM, LW",UD Almería,4,Pacey Dribbler II,75.0,72.0,72.0,74.0,42.0,67.0
Leander Baia,Alessandro L. Baia Marques,Brazil,77,33,"RB, RM",Atlético Mineiro,2,Deep Playmaker,76.0,48.0,69.0,75.0,74.0,70.0
B. Aaronson,Brenden Russell Aaronson,United States,74,24,"CAM, CM",Leeds United,4,Pacey Dribbler II,80.0,66.0,70.0,78.0,57.0,61.0
H. Bjørdal,Henrik Rørvik Bjørdal,Norway,69,28,CM,Vålerenga Fotball,2,Deep Playmaker,72.0,65.0,67.0,68.0,63.0,83.0
E. Matazo,Eliot Matazo,Belgium,71,23,"CDM, CM",Hull City,2,Deep Playmaker,69.0,60.0,68.0,74.0,67.0,74.0
Alvyn Sanches,Alvyn Antonio Sanches,Switzerland,73,22,"CAM, CM, ST",BSC Young Boys,4,Pacey Dribbler II,84.0,64.0,69.0,77.0,63.0,66.0
Cesinha,César Fernando Silva dos Santos,Brazil,74,35,"ST, LW, CM, CAM",Daegu FC,4,Pacey Dribbler II,81.0,75.0,71.0,75.0,31.0,73.0
K. Hoever,Ki-Jana Delano Hoever,Netherlands,74,23,"RB, RM",Wolverhampton Wanderers,2,Deep Playmaker,73.0,55.0,69.0,71.0,70.0,71.0
Z. Amdouni,Mohamed Zeki Amdouni,Switzerland,75,24,"ST, CAM",Burnley,4,Pacey Dribbler II,71.0,76.0,69.0,76.0,46.0,70.0
B. Sheaf,Benjamin David Sheaf,England,74,27,"CDM, CM",Wrexham,2,Deep Playmaker,55.0,54.0,71.0,71.0,73.0,75.0
M. Ginter,Matthias Lukas Ginter,Germany,82,31,CB,SC Freiburg,2,Deep Playmaker,55.0,58.0,71.0,66.0,85.0,75.0
A. Laporte,Aymeric Jean Louis Gerard Alphonse Laporte,Spain,82,31,CB,Athletic Club,2,Deep Playmaker,51.0,50.0,74.0,70.0,83.0,77.0
Samu Sáiz,Samuel Sáiz Alonso,Spain,74,34,"CAM, LM, CM",Eyüpspor,4,Pacey Dribbler II,76.0,74.0,74.0,76.0,31.0,69.0
R. Slater,Regan Newman Slater,England,70,25,"CM, CDM, RB",Hull City,2,Deep Playmaker,71.0,61.0,69.0,72.0,65.0,70.0
T. Castagne,Timothy Castagne,Belgium,76,29,"RB, RM",Fulham FC,2,Deep Playmaker,68.0,57.0,70.0,72.0,74.0,71.0
J. van Hecke,Jan Paul van Hecke,Netherlands,80,25,CB,Brighton & Hove Albion,2,Deep Playmaker,67.0,46.0,72.0,70.0,80.0,78.0
K. Imeri,Kastriot Imeri,Switzerland,67,25,"CM, LM, LW, CAM",FC Thun,4,Pacey Dribbler II,71.0,71.0,68.0,71.0,57.0,63.0
I. Guerrico,Ignacio Guerrico,Argentina,71,26,"LB, LM",CA Aldosivi,2,Deep Playmaker,71.0,64.0,62.0,71.0,66.0,84.0
Kiko Femenía,Francisco Femenía Far,Spain,75,34,"RB, RM",Getafe CF,2,Deep Playmaker,68.0,56.0,70.0,69.0,73.0,66.0
Álex Valle,Álex Valle Gómez,Spain,72,21,"LB, LM",Como,2,Deep Playmaker,81.0,56.0,67.0,72.0,67.0,65.0
A. Caceres,Anthony Richard Cáceres,Australia,69,32,"CAM, CDM, LM, CM",Macarthur FC,2,Deep Playmaker,69.0,64.0,69.0,71.0,58.0,75.0
J. Ferri,Jordan Ferri,France,73,33,"CDM, CM",Sampdoria,2,Deep Playmaker,52.0,60.0,72.0,73.0,67.0,73.0
S. Banza,Simon Bokoté Banza,Congo DR,81,28,ST,Sporting Clube de Braga,4,Pacey Dribbler II,79.0,81.0,62.0,77.0,36.0,79.0
M. Thiaw,Malick Laye Thiaw,Germany,78,23,CB,Newcastle United,2,Deep Playmaker,72.0,47.0,69.0,72.0,78.0,80.0
C. Wernitznig,Christopher Wernitznig,Austria,67,35,"CM, RM, RB",SV Ried,2,Deep Playmaker,65.0,66.0,67.0,65.0,64.0,71.0
C. Bakambu,Cédric Bakambu,Congo DR,77,34,ST,Real Betis Balompié,4,Pacey Dribbler II,78.0,78.0,68.0,72.0,40.0,68.0
Odriozola,Álvaro Odriozola Arzallus,Spain,74,29,"RB, RM",Real Sociedad,2,Deep Playmaker,72.0,55.0,69.0,74.0,71.0,63.0
S. Twine,Scott Edward Twine,England,72,25,"RM, LM, CAM, RW",Bristol City,4,Pacey Dribbler II,77.0,70.0,71.0,73.0,55.0,53.0
P. Osterhage,Patrick Osterhage,Germany,75,25,"CDM, CM",SC Freiburg,2,Deep Playmaker,78.0,57.0,66.0,69.0,74.0,75.0
E. Le Fée,Enzo Jérémy Le Fée,France,76,25,"CM, LM, CAM, LW",Sunderland,2,Deep Playmaker,63.0,61.0,76.0,80.0,62.0,56.0
A. Soñora,Alan Soñora,United States,67,26,"CM, CAM, RM",Cerro Porteño,2,Deep Playmaker,72.0,63.0,68.0,71.0,60.0,66.0
M. Knudsen,Magnus Nordengen Knudsen,Norway,70,24,"CM, CDM",Holstein Kiel,2,Deep Playmaker,72.0,59.0,70.0,74.0,65.0,72.0
João Paulo,João Paulo Mior,Brazil,70,34,"CDM, CM",Seattle Sounders FC,2,Deep Playmaker,57.0,64.0,70.0,69.0,68.0,70.0
E. Guessand,Evann Guessand,Côte d'Ivoire,79,24,"RM, RW, ST",Aston Villa,4,Pacey Dribbler II,83.0,76.0,73.0,79.0,36.0,77.0
Iza Carcelén,Isaac Carcelén Valencia,Spain,70,32,"RB, RM",Cádiz CF,2,Deep Playmaker,74.0,58.0,66.0,68.0,65.0,69.0
D. Moreno,Dayro Mauricio Moreno Galindo,Colombia,75,39,ST,Once Caldas,4,Pacey Dribbler II,66.0,80.0,73.0,71.0,38.0,68.0
P. Mwene,Phillipp Mwene,Austria,76,31,"LB, LM",1. FSV Mainz 05,2,Deep Playmaker,78.0,55.0,69.0,75.0,70.0,70.0
A. Hassan,Abdelkarim Hassan Al Haj Fadlalla,Qatar,70,31,"LB, LM",,2,Deep Playmaker,74.0,67.0,65.0,64.0,65.0,82.0
K. Zachariassen,Kristoffer Zachariassen,Norway,71,31,"CAM, RW, LW, CM",Ferencvárosi Torna Club,2,Deep Playmaker,71.0,66.0,68.0,70.0,62.0,76.0
E. Boateng,Emmanuel Okyere Boateng,Ghana,72,29,"ST, LW, LM",Gaziantep FK,4,Pacey Dribbler II,91.0,71.0,61.0,72.0,39.0,74.0
Hwang Hee Chan,Hee-chan Hwang황희찬 黄喜灿,Korea Republic,75,29,"ST, LW, CAM",Wolverhampton Wanderers,4,Pacey Dribbler II,81.0,75.0,70.0,75.0,39.0,68.0
P. Kadeřábek,Pavel Kadeřábek,Czechia,74,33,"RB, RM",Sparta Praha,2,Deep Playmaker,66.0,45.0,70.0,70.0,71.0,75.0
M. Stamenić,Marko Seufatu Nikola Stamenić,New Zealand,71,23,"CDM, CM",Swansea City,2,Deep Playmaker,67.0,60.0,68.0,71.0,66.0,75.0
C. Wilson,Callum Eddie Graham Wilson,England,78,33,ST,West Ham United,4,Pacey Dribbler II,73.0,79.0,67.0,76.0,42.0,65.0
Dani García,Daniel García Carrillo,Spain,75,35,"CDM, CM",Olympiacos FC,2,Deep Playmaker,47.0,62.0,69.0,69.0,73.0,75.0
I. Jakobs,Ismail Joshua Jakobs,Senegal,75,25,"LB, LM",Galatasaray SK,4,Pacey Dribbler II,90.0,60.0,65.0,74.0,70.0,68.0
G. Read,Givairo Read,Netherlands,75,19,"RB, RM",Feyenoord,2,Deep Playmaker,81.0,54.0,69.0,71.0,69.0,76.0
M. Ducksch,Marvin Ducksch,Germany,76,31,"ST, CAM",Birmingham City,4,Pacey Dribbler II,56.0,78.0,79.0,75.0,33.0,68.0
Pol Lozano,Pol Lozano Vizuete,Spain,75,25,"CDM, CM",RCD Espanyol,2,Deep Playmaker,65.0,58.0,72.0,69.0,72.0,71.0
M. Honsak,Mathias Honsak,Austria,74,28,"LM, LW, ST",1. FC Heidenheim 1846,4,Pacey Dribbler II,86.0,70.0,68.0,74.0,54.0,69.0
J. Clark,Jordan Charles Clark,England,71,31,"CM, CAM",Luton Town,2,Deep Playmaker,67.0,63.0,71.0,73.0,64.0,68.0
T. van de Looi,Tom van de Looi,Netherlands,69,25,"CDM, CM, CB",Famalicão,2,Deep Playmaker,67.0,66.0,69.0,70.0,65.0,72.0
W. Swedberg,Williot Theo Swedberg,Sweden,74,21,"LW, CM, LM",RC Celta,4,Pacey Dribbler II,74.0,69.0,71.0,76.0,61.0,62.0
A. Bobichon,Antonin Bobichon,France,68,29,"CM, CAM, CDM",Pau FC,2,Deep Playmaker,64.0,69.0,70.0,69.0,58.0,69.0
Jota,João Pedro Neves Filipe,Portugal,77,26,"LW, RW, LM",Celtic,4,Pacey Dribbler II,86.0,72.0,72.0,80.0,37.0,58.0
Nico Paz,Nicolás Paz Martínez,Argentina,79,20,"CAM, CM",Como,4,Pacey Dribbler II,78.0,71.0,77.0,82.0,51.0,64.0
Edval Anton,Edvaldo Flávio Rebelo de Freit,Brazil,74,29,"CDM, CM, CAM",Fortaleza,2,Deep Playmaker,70.0,56.0,71.0,72.0,72.0,69.0
Afonso Sousa,Afonso Gamelas de Pinho Sousa,Portugal,74,25,"CAM, CM",Samsunspor,4,Pacey Dribbler II,78.0,71.0,70.0,74.0,55.0,58.0
T. Palacios,Tiago Asael Palacios,Uruguay,75,24,"RM, CAM, RW",Estudiantes de La Plata,4,Pacey Dribbler II,85.0,70.0,70.0,76.0,46.0,57.0
Martim Fernandes,Martim Moreira Moutinho Fernandes,Portugal,75,19,"RB, RM",FC Porto,2,Deep Playmaker,81.0,51.0,70.0,74.0,69.0,65.0
A. Cresswell,Aaron Cresswell,England,73,35,"CB, LB, LM",Stoke City,2,Deep Playmaker,50.0,59.0,73.0,71.0,75.0,62.0
O. Niang,Ousseynou Niang,Senegal,70,23,"LM, LB",Union Saint-Gilloise,4,Pacey Dribbler II,82.0,67.0,63.0,70.0,60.0,70.0
F. Kainz,Florian Kainz,Austria,74,32,"CAM, CM, LM",1. FC Köln,4,Pacey Dribbler II,64.0,73.0,75.0,76.0,44.0,60.0
D. Odoi,Denis Frimpong Odoi,Ghana,70,37,"CDM, RB, CB, RM",,2,Deep Playmaker,69.0,60.0,65.0,71.0,68.0,74.0
H. De La Fuente,Hernán de la Fuente,Argentina,71,28,"RB, RM",Huracán,2,Deep Playmaker,88.0,62.0,60.0,72.0,63.0,76.0
E. Sarić,Elvis Sarić,Bosnia and Herzegovina,71,34,"CM, CDM",Qingdao Hainiu FC,2,Deep Playmaker,64.0,63.0,71.0,70.0,63.0,75.0
S. El Karouani,Souffian El Karouani,Morocco,75,24,"LB, LM",FC Utrecht,2,Deep Playmaker,71.0,48.0,76.0,74.0,68.0,70.0
M. Maertens,Mathieu Maertens,Belgium,69,30,"CAM, ST, CM",Oud-Heverlee Leuven,2,Deep Playmaker,67.0,70.0,68.0,68.0,64.0,69.0
T. Akimoto,Takahiro Akimoto明本 考浩,Japan,69,27,"LB, LM, LW",Oud-Heverlee Leuven,2,Deep Playmaker,76.0,65.0,65.0,69.0,61.0,73.0
T. Sakamoto,Tatsuhiro Sakamoto坂元 達裕,Japan,72,28,"RM, RW",Coventry City,4,Pacey Dribbler II,76.0,63.0,69.0,75.0,62.0,60.0
K. Itakura,Ko Itakura板倉 滉,Japan,77,28,"CB, CDM",Ajax,2,Deep Playmaker,75.0,59.0,61.0,74.0,77.0,76.0
M. Eskihellaç,Mustafa Eskihellaç,Türkiye,72,28,"LB, LM, RM",Trabzonspor,4,Pacey Dribbler II,86.0,59.0,66.0,72.0,66.0,64.0
J. Méndez,Juan Ignacio Méndez Aveiro,Argentina,69,28,"CM, CDM",Instituto Atlético Central Córdoba,2,Deep Playmaker,67.0,63.0,67.0,70.0,66.0,67.0
Y. Maleh,Youssef Malehيوسف مالح,Morocco,71,26,CM,Lecce,2,Deep Playmaker,59.0,65.0,73.0,72.0,66.0,63.0
Y. Bisseck,Yann Aurel Ludger Bisseck,Germany,76,24,CB,Inter,2,Deep Playmaker,76.0,57.0,63.0,73.0,75.0,78.0
K. Fitz-Jim,Kian Fitz-Jim,Netherlands,73,21,"CM, CAM",Ajax,2,Deep Playmaker,75.0,58.0,70.0,78.0,66.0,62.0
A. Herrera,Marcelo Andrés Herrera Mansilla Barrios,Argentina,70,26,"RB, RM",Columbus Crew,2,Deep Playmaker,84.0,63.0,62.0,69.0,66.0,70.0
N. Okafor,Noah Arinzechukwu Okafor,Switzerland,76,25,"ST, LM, LW, CAM",Leeds United,4,Pacey Dribbler II,86.0,76.0,71.0,80.0,31.0,69.0
Viti Rozada,Víctor Álvarez Rozada,Spain,73,27,"RB, RM",UD Las Palmas,4,Pacey Dribbler II,86.0,60.0,66.0,74.0,65.0,70.0
L. Tempelmann,Lino Tempelmann,Germany,71,26,"CM, CAM",Eintracht Braunschweig,2,Deep Playmaker,77.0,58.0,68.0,73.0,66.0,68.0
A. Milambo,Antoni-Djibu Milambo,Netherlands,73,20,"CM, CAM",Brentford,4,Pacey Dribbler II,74.0,67.0,70.0,76.0,60.0,63.0
J. Bryan,Joseph Edward Bryan,England,70,31,"LB, LM",Millwall FC,2,Deep Playmaker,72.0,58.0,66.0,68.0,66.0,71.0
E. Copetti,Enzo Nahuel Copetti,Argentina,72,29,"ST, CAM, CM",Rosario Central,4,Pacey Dribbler II,81.0,69.0,64.0,69.0,49.0,79.0
M. Bird,Max Andrew Bird,England,73,24,"CM, CAM, CDM",Bristol City,2,Deep Playmaker,67.0,63.0,70.0,71.0,68.0,71.0
Morci,Jon Morcillo Conesa,Spain,71,26,"LM, LW",Albacete Balompié,4,Pacey Dribbler II,79.0,70.0,68.0,69.0,48.0,65.0
C. Stengs,Calvin Stengs,Netherlands,76,26,"CAM, CM",Pisa,4,Pacey Dribbler II,69.0,68.0,77.0,77.0,50.0,63.0
L. González,Lucas Nahuel González Martínez,Argentina,71,25,"CM, CDM, CAM",Defensa y Justicia,2,Deep Playmaker,75.0,59.0,71.0,74.0,61.0,72.0
Y. Asprilla,Yaser Esneider Asprilla Martínez,Colombia,75,21,"RM, RW, CAM",Girona FC,4,Pacey Dribbler II,80.0,72.0,73.0,76.0,50.0,62.0
Elton Coengo,Elton Matheus Coengo Barbosa,Brazil,67,25,"CM, CDM",Vitória,1,Defensive Anchor,69.0,52.0,61.0,61.0,65.0,65.0
N. Bustos,Nahuel Lautaro Bustos,Argentina,73,26,"ST, CAM, CM",Talleres,4,Pacey Dribbler II,83.0,73.0,67.0,76.0,33.0,72.0
R. Yates,Ryan James Yates,England,77,27,"CDM, CM",Nottingham Forest,2,Deep Playmaker,50.0,62.0,68.0,67.0,76.0,82.0
Fábio Silva,Fábio Daniel Soares Silva,Portugal,79,22,"ST, LW",Borussia Dortmund,4,Pacey Dribbler II,81.0,77.0,64.0,79.0,32.0,79.0
J. Ramírez,Juan Edgardo Ramírez,Argentina,70,32,"CM, LM, CAM",Lanús,4,Pacey Dribbler II,78.0,64.0,68.0,76.0,62.0,66.0
I. Touré,Idrissa Touré,Germany,71,27,"RM, RB",Pisa,2,Deep Playmaker,72.0,62.0,68.0,71.0,62.0,77.0
J. Steuckers,Jarne Steuckers,Belgium,75,23,"RM, RW",KRC Genk,4,Pacey Dribbler II,69.0,73.0,75.0,74.0,40.0,66.0
Aihen Muñoz,Aihen Muñoz Capellán,Spain,75,27,"LB, LM",Real Sociedad,2,Deep Playmaker,75.0,54.0,70.0,73.0,72.0,70.0
E. Lira,Érik Antonio Lira Méndez,Mexico,73,25,"CDM, CM, CB",,2,Deep Playmaker,74.0,58.0,68.0,68.0,69.0,74.0
E. Bonifacio,Ezequiel Augusto Bonifacio Moreno,Argentina,70,31,"RB, RM, LB",Independiente Rivadavia,2,Deep Playmaker,72.0,58.0,66.0,73.0,65.0,72.0
N. Fernández,Nicolás Emanuel Fernández,Argentina,75,29,"ST, RM, RW",Belgrano de Córdoba,4,Pacey Dribbler II,81.0,75.0,64.0,77.0,39.0,69.0
P. Gerkens,Pieter Tom Gerkens,Belgium,69,30,"CM, LM, LW",Cercle Brugge KSV,2,Deep Playmaker,52.0,68.0,68.0,66.0,66.0,68.0
M. Ritchie,Matthew Thomas Ritchie,Scotland,67,35,"RW, RM, LM",Reading FC,2,Deep Playmaker,54.0,69.0,71.0,68.0,64.0,67.0
D. Zapata,Duván Esteban Zapata Banguero,Colombia,82,34,ST,Torino,4,Pacey Dribbler II,74.0,81.0,64.0,77.0,35.0,82.0
P. Nebel,Paul Nebel,Germany,78,22,"CAM, CM, RM",1. FSV Mainz 05,4,Pacey Dribbler II,71.0,75.0,72.0,82.0,45.0,60.0
J. Florentín,José Ignacio Florentín Bobadilla,Paraguay,71,28,"CM, CDM",Central Cordoba SdE,2,Deep Playmaker,66.0,63.0,65.0,67.0,69.0,78.0
Damián Rodríguez,Damián Rodríguez Sousa,Spain,73,22,"CM, CDM, CAM",RC Celta,2,Deep Playmaker,71.0,60.0,70.0,71.0,70.0,70.0
Aldasoro,Aritz Aldasoro Sarriegi,Spain,70,26,"CDM, CM, CAM",Racing Santander,2,Deep Playmaker,68.0,65.0,65.0,70.0,67.0,69.0
K. Sabbe,Kyriani Sabbe,Belgium,71,20,"RB, LB, RM",Club Brugge KV,2,Deep Playmaker,75.0,60.0,69.0,70.0,64.0,70.0
I. Tapia,Iván Alejo Tapia,Argentina,71,26,"CAM, CM",Barracas Central,2,Deep Playmaker,68.0,68.0,74.0,70.0,53.0,70.0
Melendo,Óscar Melendo Jiménez,Spain,71,27,"CM, RM, CAM, RW",Shanghai Port,4,Pacey Dribbler II,75.0,63.0,73.0,76.0,58.0,62.0
F. Grillitsch,Florian Grillitsch,Austria,75,29,"CM, CB, CDM",Sporting Clube de Braga,2,Deep Playmaker,63.0,59.0,74.0,74.0,72.0,66.0
D. Spence,Diop Tehuti Djed-Hotep Spence,England,78,24,"RB, LB, RM",Tottenham Hotspur,2,Deep Playmaker,88.0,44.0,71.0,79.0,74.0,72.0
S. Iling-Junior,Samuel Iling-Junior,England,74,21,"LM, LB, LW",West Bromwich Albion,4,Pacey Dribbler II,81.0,64.0,71.0,77.0,56.0,62.0
J. Sánchez,Jorge Eduardo Sánchez Ramos,Mexico,73,27,"RB, RM",,2,Deep Playmaker,84.0,50.0,63.0,71.0,69.0,78.0
J. Cabrera,Marcelo Javier Cabrera Rivero,Uruguay,72,33,"RM, RW, LM",Peñarol,4,Pacey Dribbler II,77.0,66.0,69.0,72.0,53.0,70.0
Lucas Pires,Lucas Pires Silva,Brazil,74,24,"LB, LM",Burnley,2,Deep Playmaker,79.0,49.0,69.0,72.0,70.0,73.0
R. van Wolfswinkel,Ricky van Wolfswinkel,Netherlands,73,36,"ST, RM, RW",FC Twente,2,Deep Playmaker,63.0,73.0,69.0,69.0,52.0,72.0
D. Vanzeir,Dante Vanzeir,Belgium,72,27,"ST, CAM",KAA Gent,4,Pacey Dribbler II,84.0,69.0,69.0,72.0,38.0,73.0
J. Kenny,Jonjoe Kenny,England,72,28,"RB, RM",PAOK,2,Deep Playmaker,69.0,54.0,66.0,68.0,69.0,71.0
J. Hendrix,Jorrit Petrus Carolina Hendrix,Netherlands,72,30,"CDM, CM, CB",SC Preußen Münster,2,Deep Playmaker,68.0,59.0,66.0,67.0,70.0,76.0
J. Makengo,Jean-Victor Makengo,France,69,27,"CM, CDM",FC Lorient,2,Deep Playmaker,58.0,65.0,68.0,70.0,70.0,67.0
R. Huescas,Rodrigo Jhossel Huescas Hurtado,Mexico,72,21,"RB, RM",FC København,4,Pacey Dribbler II,83.0,63.0,67.0,70.0,65.0,62.0
T. Tessmann,Francis Tanner James Tessmann,United States,75,23,"CDM, CM",Olympique Lyonnais,2,Deep Playmaker,57.0,63.0,71.0,71.0,71.0,78.0
J. Doku,Jérémy Doku,Belgium,80,23,"LW, RW, LM",Manchester City,4,Pacey Dribbler II,91.0,71.0,72.0,87.0,32.0,68.0
A. Verschueren,Arno Verschueren,Belgium,70,28,"CAM, CM",FC Twente,2,Deep Playmaker,72.0,68.0,64.0,67.0,67.0,73.0
D. Foulquier,Dimitri Foulquier,France,74,32,"RB, LB, RM",Valencia CF,2,Deep Playmaker,73.0,59.0,66.0,68.0,72.0,74.0
Paulo Azzi,Paulo Daniel Dentello Azzi,Brazil,71,30,"LB, LM",Monza,2,Deep Playmaker,85.0,62.0,64.0,70.0,65.0,73.0
Germano Monico,Germano Wilson Monico Salvador,Brazil,71,33,CM,Corinthians,2,Deep Playmaker,57.0,69.0,73.0,70.0,64.0,66.0
S. Greenwood,Sam Greenwood,England,70,23,"CAM, ST, LM, CM",Pogoń Szczecin,2,Deep Playmaker,70.0,69.0,70.0,70.0,52.0,70.0
S. Lainer,Stefan Lainer,Austria,71,32,"RB, RM",FC Red Bull Salzburg,2,Deep Playmaker,70.0,63.0,65.0,66.0,71.0,70.0
G. Simeone,Giovanni Pablo Simeone Baldini,Argentina,75,29,ST,Torino,4,Pacey Dribbler II,71.0,77.0,63.0,73.0,41.0,72.0
P. Strand,Petter Dahle Strand,Norway,67,30,"CM, RM, RW",Vålerenga Fotball,2,Deep Playmaker,77.0,63.0,63.0,68.0,63.0,74.0
M. Berisha,Mërgim Berisha,Germany,75,27,ST,TSG 1899 Hoffenheim,4,Pacey Dribbler II,69.0,76.0,72.0,75.0,37.0,69.0
M. Ishak,Mikael Ishak,Sweden,74,32,ST,Lech Poznań,2,Deep Playmaker,70.0,74.0,63.0,67.0,54.0,83.0
J. Doig,Josh Thomas Doig,Scotland,73,23,"LB, LM",Sassuolo,2,Deep Playmaker,79.0,63.0,66.0,70.0,67.0,70.0
L. Boyé,Lucas Ariel Boyé,Argentina,73,29,"ST, CAM",Deportivo Alavés,2,Deep Playmaker,69.0,73.0,64.0,72.0,49.0,80.0
Ramón da Almeyda,Ramón Samuel da Almeyda Aníbal,Brazil,74,29,"LB, CM, LM",Grêmio,2,Deep Playmaker,71.0,53.0,65.0,71.0,72.0,73.0
Leôncio Vimieiro,Leôncio Roger Vimieiro Madeira,Brazil,75,29,"LB, LM",São Paulo,2,Deep Playmaker,73.0,52.0,66.0,70.0,74.0,71.0
M. Udol,Matthieu Udol,France,74,29,"CB, LB, LM",RC Lens,2,Deep Playmaker,70.0,52.0,65.0,72.0,74.0,74.0
A. Bouaddi,Ayyoub Bouaddi,France,75,17,"CM, CDM",Lille OSC,2,Deep Playmaker,75.0,58.0,72.0,75.0,67.0,71.0
Hugo Rubiães,Hugo Adryan Rubiães Chaves,Brazil,72,29,"CDM, RB, CM",Fluminense,2,Deep Playmaker,67.0,61.0,61.0,69.0,75.0,67.0
E. Smith,Eric Anders Smith,Sweden,75,28,"CDM, CM, CB",FC St. Pauli,2,Deep Playmaker,67.0,59.0,67.0,66.0,73.0,79.0
O. Rosengren,Otto Rosengren,Sweden,71,22,"CM, CDM",Malmö FF,2,Deep Playmaker,68.0,68.0,67.0,70.0,62.0,70.0
O. Rathbone,Oliver Michael Rathbone,England,69,28,"CM, CAM",Wrexham,2,Deep Playmaker,82.0,60.0,64.0,70.0,64.0,76.0
Hugo Rincón,Hugo Rincón Lumbreras,Spain,73,22,"RB, RM",Girona FC,2,Deep Playmaker,81.0,62.0,66.0,70.0,67.0,72.0
Ailtio Coelho,Ailton Diogo Coelho Barbosa,Brazil,74,29,"LM, LW",São Paulo,4,Pacey Dribbler II,82.0,72.0,71.0,74.0,38.0,62.0
L. Holtby,Lewis Harry Holtby,Germany,70,34,"CM, CDM, CAM",NAC Breda,2,Deep Playmaker,48.0,65.0,73.0,71.0,63.0,63.0
Guilson Paiva,G. Pierre Paiva Souza,Brazil,78,29,"RM, RW",Flamengo,4,Pacey Dribbler II,83.0,69.0,75.0,78.0,42.0,69.0
S. Lauper,Sandro Mike Lauper,Switzerland,70,28,"CB, CDM, CM",BSC Young Boys,2,Deep Playmaker,73.0,65.0,65.0,69.0,69.0,72.0
Borja Mayoral,Borja Mayoral Moya,Spain,77,28,ST,Getafe CF,4,Pacey Dribbler II,65.0,79.0,71.0,75.0,39.0,66.0
Rafa Soares,Luís Rafael Soares Alves,Portugal,70,30,"LB, LM",Famalicão,2,Deep Playmaker,74.0,59.0,67.0,70.0,65.0,66.0
L. Miller,Lennon Lee Miller,Scotland,71,18,"CM, CDM, CAM, CB",Udinese,2,Deep Playmaker,73.0,64.0,71.0,68.0,62.0,67.0
D. Suárez,Damián Nicolás Suárez Suárez,Uruguay,69,37,"RB, RM",Peñarol,2,Deep Playmaker,64.0,65.0,65.0,64.0,68.0,69.0
J. Hove,Johan Hove,Norway,69,24,"CM, CAM, RM",AIK,2,Deep Playmaker,74.0,65.0,68.0,70.0,61.0,70.0
M. Mehlem,Marvin Mehlem,Germany,72,27,"CM, CAM",DSC Arminia Bielefeld,2,Deep Playmaker,70.0,66.0,70.0,75.0,58.0,64.0
D. Lainez,Diego Lainez Leyva,Mexico,76,25,"RM, CAM, RW",,4,Pacey Dribbler II,80.0,66.0,70.0,82.0,52.0,53.0
